transaction_id,date,merchant,amount,category,accounting_code,accounting_type,tax_deductible,department,extraction_confidence
TXN-00001,2024-12-16,Steelcase,600.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),Sales,0.8999999999999999
TXN-00002,2024-10-30,Slack,99.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,Engineering,0.93
TXN-00003,2025-03-13,Verizon,100.0,Utilities - Telecom,6600,Operating Expense - Utilities,Yes,Operations,0.8999999999999999
TXN-00004,2025-03-10,Apple,1999.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Marketing,0.8999999999999999
TXN-00005,2024-11-17,Grubhub,50.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Operations,0.8999999999999999
TXN-00006,2024-04-05,Deloitte,50000.0,Professional Services,6700,Operating Expense - Services,Yes,Operations,0.93
TXN-00007,2024-01-29,Restaurants.Com,40.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),HR,0.8999999999999999
TXN-00008,2024-05-31,Ups,50.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,HR,0.8999999999999999
TXN-00009,2024-03-01,Apple,1999.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Finance,0.95
TXN-00010,2025-02-17,Google Cloud,400.0,Software - Cloud,6310,Operating Expense - Technology,Yes,HR,0.8999999999999999
TXN-00011,2024-06-09,American Airlines,950.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Finance,0.95
TXN-00012,2024-06-11,Lenovo,2000.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Finance,0.8999999999999999
TXN-00013,2024-05-02,Marriott Hotels,450.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Engineering,0.8999999999999999
TXN-00014,2024-09-27,Ubereats,45.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),HR,0.8999999999999999
TXN-00015,2024-01-19,Starbucks,15.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Sales,0.8999999999999999
TXN-00016,2024-07-02,Facebook Ads,4000.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,Finance,0.95
TXN-00017,2024-06-15,Fedex,500.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,Marketing,0.8999999999999999
TXN-00018,2025-01-07,Best Buy,1200.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Sales,0.8999999999999999
TXN-00019,2025-02-13,Quickbooks,300.0,Accounting Software,6720,Operating Expense - Services,Yes,Sales,0.8999999999999999
TXN-00020,2024-03-27,Comcast Inc,200.0,Utilities - Internet,6610,Operating Expense - Utilities,Yes,Marketing,0.95
TXN-00021,2024-05-14,Ups,350.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,Engineering,0.8999999999999999
TXN-00022,2024-07-21,Time Warner,60.0,Utilities - Internet,6610,Operating Expense - Utilities,Yes,Operations,0.95
TXN-00023,2024-11-20,At&T,300.0,Utilities - Telecom,6600,Operating Expense - Utilities,Yes,Sales,0.95
TXN-00024,2024-12-12,Staples,150.0,Office Supplies,6100,Operating Expense - Office,Yes,Operations,0.8999999999999999
TXN-00025,2025-02-07,Restaurants.Com,40.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Finance,0.8999999999999999
TXN-00026,2024-09-07,Slack,125.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,Operations,0.95
TXN-00027,2024-08-02,Lenovo,2000.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Sales,0.8999999999999999
