transaction_id,date,merchant_original,merchant_cleaned,category,amount,status,department,extraction_confidence,data_quality
TXN-00001,2024-12-16,Steelcase,Steelcase,Furniture - Fixed Asset,600.0,delivered,Sales,0.8999999999999999,Fair
TXN-00002,2024-10-30,Slack,Slack,Software - SaaS,99.0,pending,Engineering,0.9299999999999999,Good
TXN-00003,2025-03-13,Verizon,Verizon,Utilities - Telecom,100.0,pending,Operations,0.8999999999999999,Fair
TXN-00004,2025-03-10,Apple,Apple,Hardware - Equipment,1999.0,paid,Marketing,0.8999999999999999,Fair
TXN-00005,2024-11-17,Grubhub,Grubhub,Meals & Entertainment,50.0,paid,Operations,0.8999999999999999,Fair
TXN-00006,2024-04-05,Deloitte,Deloitte,Professional Services,50000.0,invoiced,Operations,0.9299999999999999,Good
TXN-00007,2024-01-29,Restaurants.com,Restaurants.Com,Meals & Entertainment,40.0,delivered,HR,0.8999999999999999,Fair
TXN-00008,2024-05-31,UPS,Ups,Shipping & Logistics,50.0,invoiced,HR,0.8999999999999999,Fair
TXN-00009,2024-03-01,Apple,Apple,Hardware - Equipment,1999.0,completed,Finance,0.95,Good
TXN-00010,2025-02-17,Google Cloud,Google Cloud,Software - Cloud,400.0,completed,HR,0.8999999999999999,Fair
TXN-00011,2024-06-09,American Airlines,American Airlines,Travel - Airfare,950.0,paid,Finance,0.95,Good
TXN-00012,2024-06-11,Lenovo,Lenovo,Hardware - Equipment,2000.0,delivered,Finance,0.8999999999999999,Fair
TXN-00013,2024-05-02,Marriott Hotels,Marriott Hotels,Travel - Lodging,450.0,invoiced,Engineering,0.8999999999999999,Fair
TXN-00014,2024-09-27,UberEats,Ubereats,Meals & Entertainment,45.0,delivered,HR,0.8999999999999999,Fair
TXN-00015,2024-01-19,Starbucks,Starbucks,Meals & Entertainment,15.0,pending,Sales,0.8999999999999999,Fair
TXN-00016,2024-07-02,Facebook Ads,Facebook Ads,Marketing - Digital,4000.0,invoiced,Finance,0.95,Good
TXN-00017,2024-06-15,FedEx,Fedex,Shipping & Logistics,500.0,completed,Marketing,0.8999999999999999,Fair
TXN-00018,2025-01-07,Best Buy,Best Buy,Hardware - Equipment,1200.0,delivered,Sales,0.8999999999999999,Fair
TXN-00019,2025-02-13,QuickBooks,Quickbooks,Accounting Software,300.0,paid,Sales,0.8999999999999999,Fair
TXN-00020,2024-03-27,Comcast Inc,Comcast Inc,Utilities - Internet,200.0,completed,Marketing,0.95,Good
TXN-00021,2024-05-14,UPS,Ups,Shipping & Logistics,350.0,completed,Engineering,0.8999999999999999,Fair
TXN-00022,2024-07-21,time warner,Time Warner,Utilities - Internet,60.0,pending,Operations,0.95,Good
TXN-00023,2024-11-20,AT&T,At&T,Utilities - Telecom,300.0,paid,Sales,0.95,Good
TXN-00024,2024-12-12,Staples,Staples,Office Supplies,150.0,invoiced,Operations,0.8999999999999999,Fair
TXN-00025,2025-02-07,Restaurants.com,Restaurants.Com,Meals & Entertainment,40.0,completed,Finance,0.8999999999999999,Fair
TXN-00026,2024-09-07,Slack,Slack,Software - SaaS,125.0,completed,Operations,0.95,Good
TXN-00027,2024-08-02,Lenovo,Lenovo,Hardware - Equipment,2000.0,pending,Sales,0.8999999999999999,Fair
TXN-00028,2024-08-05,United Airlines,United Airlines,Travel - Airfare,850.0,delivered,Operations,0.95,Good
TXN-00029,2025-03-29,Time Warner,Time Warner,Utilities - Internet,60.0,pending,Finance,0.8999999999999999,Fair
TXN-00030,2025-02-08,Hilton Hotels,Hilton Hotels,Travel - Lodging,700.0,invoiced,Sales,0.8999999999999999,Fair
TXN-00031,2024-01-13,Herman Miller,Herman Miller,Furniture - Fixed Asset,1500.0,paid,Sales,0.8999999999999999,Fair
TXN-00032,2024-05-19,DoorDash,Doordash,Meals & Entertainment,100.0,completed,Sales,0.95,Good
TXN-00033,2024-10-21,Verizon,Verizon,Utilities - Telecom,350.0,delivered,Engineering,0.8999999999999999,Fair
TXN-00034,2024-02-25,GitHub,Github,Software - Development,231.0,completed,Marketing,0.8999999999999999,Fair
TXN-00035,2024-05-24,FedEx,Fedex,Shipping & Logistics,100.0,completed,Sales,0.8999999999999999,Fair
TXN-00036,2024-09-13,Datadog,Datadog,Software - Monitoring,1500.0,pending,Marketing,0.9299999999999999,Good
TXN-00037,2024-08-30,Deloitte,Deloitte,Professional Services,10000.0,invoiced,Finance,0.95,Good
TXN-00038,2024-04-11,Southwest Airlines,Southwest Airlines,Travel - Airfare,150.0,delivered,HR,0.8999999999999999,Fair
TXN-00039,2024-11-24,Dell,Dell,Hardware - Equipment,2500.0,pending,Finance,0.8799999999999999,Fair
TXN-00040,2024-01-24,Amazon,Amazon,Hardware - Equipment,299.0,completed,Engineering,0.8999999999999999,Fair
TXN-00041,2024-03-20,HubSpot,Hubspot,Marketing - Software,200.0,pending,Engineering,0.8999999999999999,Fair
TXN-00042,2024-07-31,Comcast,Comcast,Utilities - Internet,70.0,pending,Engineering,0.8999999999999999,Fair
TXN-00043,2025-01-01,Verizon,Verizon,Utilities - Telecom,350.0,pending,Sales,0.8999999999999999,Fair
TXN-00044,2025-02-06,Southwest Airlines,Southwest Airlines,Travel - Airfare,150.0,invoiced,Finance,0.95,Good
TXN-00045,2024-05-24,Delta Airlines,Delta Airlines,Travel - Airfare,900.0,completed,Engineering,0.8999999999999999,Fair
TXN-00046,2024-12-24,Google Ads,Google Ads,Marketing - Digital,500.0,invoiced,HR,0.8999999999999999,Fair
